作品,人物,PageRank,介数中心性,度中心性,接近中心性
朝花夕拾,田涉,0.02564102564102564,0.0,0.02631578947368421,0.02631578947368421
朝花夕拾,鲁迅,0.02564102564102564,0.0,0.02631578947368421,0.02631578947368421
朝花夕拾,范爱农,0.02564102564102564,0.0,0.02631578947368421,0.02631578947368421
朝花夕拾,藤野,0.02564102564102564,0.0,0.02631578947368421,0.02631578947368421
朝花夕拾,山海经,0.02564102564102564,0.0,0.02631578947368421,0.02631578947368421
朝花夕拾,阿长,0.02564102564102564,0.0,0.02631578947368421,0.02631578947368421
朝花夕拾,麻叔谋,0.02564102564102564,0.0,0.02631578947368421,0.02631578947368421
朝花夕拾,麻胡,0.02564102564102564,0.0,0.02631578947368421,0.02631578947368421
朝花夕拾,老莱子,0.02564102564102564,0.0,0.05263157894736842,0.05263157894736842
朝花夕拾,莱子,0.02564102564102564,0.0,0.05263157894736842,0.05263157894736842
朝花夕拾,老莱,0.02564102564102564,0.0,0.05263157894736842,0.05263157894736842
朝花夕拾,和尚,0.02564102564102564,0.0,0.02631578947368421,0.02631578947368421
朝花夕拾,老和尚,0.02564102564102564,0.0,0.02631578947368421,0.02631578947368421
朝花夕拾,麻祜,0.02564102564102564,0.0,0.02631578947368421,0.02631578947368421
朝花夕拾,麻祜庙,0.02564102564102564,0.0,0.02631578947368421,0.02631578947368421
朝花夕拾,纪常,0.027268362894137442,0.0,0.05263157894736842,0.05263157894736842
朝花夕拾,郑绩,0.027268362894137442,0.0,0.05263157894736842,0.05263157894736842
朝花夕拾,纪常郑,0.022386351134802057,0.0,0.05263157894736842,0.05263157894736842
朝花夕拾,二十四孝,0.02564102564102564,0.0,0.02631578947368421,0.02631578947368421
朝花夕拾,吴友如,0.02564102564102564,0.0,0.02631578947368421,0.02631578947368421
朝花夕拾,石印,0.02564102564102564,0.0,0.05263157894736842,0.05263157894736842
朝花夕拾,龙光斋,0.02564102564102564,0.0,0.05263157894736842,0.05263157894736842
朝花夕拾,过斋,0.02564102564102564,0.0,0.05263157894736842,0.05263157894736842
朝花夕拾,许广,0.02564102564102564,0.0,0.02631578947368421,0.02631578947368421
朝花夕拾,许广记,0.02564102564102564,0.0,0.02631578947368421,0.02631578947368421
朝花夕拾,戴高帽子,0.02564102564102564,0.0,0.02631578947368421,0.02631578947368421
朝花夕拾,高帽子,0.02564102564102564,0.0,0.02631578947368421,0.02631578947368421
朝花夕拾,阎罗,0.02564102564102564,0.0,0.02631578947368421,0.02631578947368421
朝花夕拾,阎罗王,0.02564102564102564,0.0,0.02631578947368421,0.02631578947368421
朝花夕拾,东岳,0.02564102564102564,0.0,0.02631578947368421,0.02631578947368421
朝花夕拾,东岳庙,0.02564102564102564,0.0,0.02631578947368421,0.02631578947368421
朝花夕拾,陈莲,0.02564102564102564,0.0,0.02631578947368421,0.02631578947368421
朝花夕拾,陈莲河,0.02564102564102564,0.0,0.02631578947368421,0.02631578947368421
朝花夕拾,桂树,0.02564102564102564,0.0,0.02631578947368421,0.02631578947368421
朝花夕拾,祖母,0.02564102564102564,0.0,0.02631578947368421,0.02631578947368421
朝花夕拾,子英,0.02564102564102564,0.0,0.02631578947368421,0.02631578947368421
朝花夕拾,德清,0.02564102564102564,0.0,0.02631578947368421,0.02631578947368421
朝花夕拾,关圣,0.02564102564102564,0.0,0.02631578947368421,0.02631578947368421
朝花夕拾,帝君,0.02564102564102564,0.0,0.02631578947368421,0.02631578947368421
而已集,曹操,0.043004732223881986,0.16820827224665683,0.1626016260162602,0.25633984816669364
而已集,董卓,0.005442117977707219,0.0,0.016260162601626018,0.17755650033564557
而已集,郑康,0.006794488986870734,0.0,0.016260162601626018,0.17755650033564557
而已集,郑康成,0.006794488986870734,0.0,0.016260162601626018,0.17755650033564557
而已集,华丽,0.0035836106850591857,0.0,0.008130081300813009,0.13873590348806716
而已集,曹丕,0.015826200013629138,0.009262961482073838,0.04878048780487805,0.18344700034678074
而已集,曹植,0.005106696187264578,0.0,0.016260162601626018,0.18003403289846853
而已集,陈琳,0.007743822085528989,0.025656404105024656,0.032520325203252036,0.18172449330127108
而已集,刘桢,0.006129583287853334,0.0,0.024390243902439025,0.13973760676234923
而已集,徐干,0.006965892824764508,0.0,0.024390243902439025,0.13973760676234923
而已集,子之,0.0027327629215602315,0.0,0.008130081300813009,0.17674574006014032
而已集,袁氏,0.004752633661319151,0.0,0.016260162601626018,0.17755650033564557
而已集,甄氏,0.004752633661319151,0.0,0.016260162601626018,0.17755650033564557
而已集,周公,0.014835320054251352,0.0009329601492736239,0.04065040650406505,0.04065040650406504
而已集,武王,0.004119682498591072,0.0,0.008130081300813009,0.022583559168925023
而已集,黄祖,0.0027327629215602315,0.0,0.008130081300813009,0.17674574006014032
而已集,何晏,0.0069229325963405305,0.010622417699586835,0.032520325203252036,0.1916203815503502
而已集,司马氏,0.005046861524221539,0.0,0.016260162601626018,0.18609287054409007
而已集,司马,0.04384180750497939,0.09102581189746331,0.13821138211382114,0.2725867399519066
而已集,王弼,0.004333804844598043,0.0003332000533120085,0.016260162601626018,0.14717611054437543
而已集,夏侯,0.011668296646217756,0.023199609045270787,0.04065040650406505,0.19067643878409227
而已集,夏侯玄,0.004515689948030859,0.0,0.008130081300813009,0.14283142831428317
而已集,司马懿,0.02324221616296688,0.06437647163356884,0.07317073170731708,0.25804878048780494
而已集,皇甫,0.008064516129032258,0.0,0.008130081300813009,0.008130081300813009
而已集,皇甫谧,0.008064516129032258,0.0,0.008130081300813009,0.008130081300813009
