word,count
不去,4
西山,4
叹息,4
遍地,4
找到,4
嘴唇,4
吩咐,4
炊饼,4
一齐,4
轻轻地,4
对不起,4
高粱,4
浑身,4
小小的,4
远远地,4
很大,4
慌忙,4
去年,4
身边,4
好容易,4
相触,4
海边,4
看时,4
摇头,4
讨厌,4
生气,4
有趣,4
奇怪,4
姚家,4
想不到,4
走出,4
本来,4
堕落,4
一盘,4
睡觉,4
人物,4
女亘,4
红色,4
一书,4
山西,4
一九二四年,4
丛书,4
一九二五年,4
攻击,4
言语,4
之道,4
列子,4
十日,4
席子,4
十多天,4
火焰,4
老乡,4
一柄,4
一张,4
皮带,4
总得,4
脚底,4
三天,4
大树,4
贴着,4
公子,4
算是,4
大汉,4
管黔,4
昨天,4
不坏,4
答道,4
禽滑,4
干净,4
胖子,4
不远,4
迈开,4
模型,4
一惊,4
院子,4
沉静,4
几句话,4
听说,4
不争,4
衣裳,4
鞋子,4
墨翟,4
锦绣,4
五千里,4
点头,4
非常高兴,4
等候,4
大饼,4
交给,4
三寸,4
报刊,4
鲁问,4
帝国主义,4
欺骗,4
上帝,4
实行,4
卖国,4
投降,4
成仿吾,4
文章,4
想到,4
铸剑,4
若干,4
革命,4
海子,4
四处,4
妻子,4
弱者,4
东方,4
至心,4
朝礼,4
运动,4
奴才,4
玄黄,4
太上老君,4
做梦,4
赤条条,4
孝子,4
眼前,4
拉住,4
上前,4
警笛,4
举起,4
吃惊,4
上流,4
草丛,4
袍子,4
竭力,4
道教,4
发生,4
杂文,4
论语,4
句子,4
太阳,4
分明,4
泥土,4
两眼,4
仰面,4
不暇,4
一口气,4
仔细,4
巨鳌,4
转过,4
铁片,4
失望,4
回事,4
我后,4
我师,4
一色,4
热闹,4
昆仑山,4
舌头,4
一日,4
走散,4
晨报,4
风俗,4
西北,4
文言,4
郭璞注,4
不合,4
入海,4
扑通一声,4
逃走,4
青色,4
善于,4
听得,4
五尺,4
取出,4
决心,4
背着,4
脑袋,4
干瘪,4
路旁,4
举手,4
议论,4
仪仗,4
青苔,4
一夫,4
呵欠,4
弄臣,4
宦官,4
那头,4
满脸,4
显出,4
太子,4
集解,4
形容,4
先王,4
客气,4
冉有,4
牙齿,4
流沙,4
探子,4
圣人,4
半天,4
中记,4
风化,4
常枞,4
岸上,4
奇肱国,4
涛声,4
搜集,4
面包,4
贝壳,4
官兵,4
维他命,4
下民,4
总有,4
清香,4
息壤,4
干父,4
禹爷,4
文化城,4
顾颉刚,4
英语,4
音译,4
赤化,4
太师,4
乐器,4
烙饼,4
木主,4
周王,4
告示,4
敬老,4
姜太公,4
姜汤,4
门板,4
肆祀,4
茯苓,4
羊皮,4
上山,4
松针,4
石片,4
采薇,4
小丙君,4
阿金,4
商纣,4
直挺挺,3
鞭子,3
跨进,3
老鸦,3
地响,3
刚到,3
脱毛,3
整年,3
低声,3
惶恐,3
留在,3
半年,3
土冈,3
卢弓,3
卢矢,3
弩机,3
大碗,3
白面,3
当年,3
野猪,3
微微一笑,3
那道士,3
送给,3
