word,count
未曾,4
期待,4
圆脸,4
臂膊,4
所说,4
临近,4
憎恶,4
雪花膏,4
帽子,4
海里,4
半年,4
骄傲,4
断片,4
方法,4
举动,4
见过,4
惊疑,4
越加,4
身体,4
支持,4
前行,4
正屋,4
陆续,4
每日,4
黄昏,4
先是,4
沉思,4
清醒,4
相貌,4
叫作,4
快活,4
勉强,4
馒头,4
好得多,4
终日,4
纸条,4
十月,4
设法,4
报告,4
总编辑,4
熟人,4
无畏,4
说完,4
怎地,4
广告,4
寻求,4
转眼,4
昏暗,4
微细,4
变化,4
刚刚,4
许久,4
翅子,4
天空,4
一本,4
使人,4
安心,4
打断,4
苦恼,4
减少,4
不住,4
火炉,4
冰冷,4
机会,4
世界,4
勇气,4
久已,4
往事,4
文艺,4
外国,4
作品,4
光明,4
冬天,4
回家,4
各处,4
破旧,4
现出,4
轻松,4
浮出,4
挣扎,4
细看,4
第一步,4
长久,4
听差,4
通译,4
糊纸,4
一径,4
偶然,4
照旧,4
子上,4
确乎,4
八卦拳,4
恭恭敬敬,4
退出,4
慷慨,4
反对,4
和尚,4
文字,4
大街,4
额角,4
可恶,4
惊奇,4
求乞,4
洗一洗,4
久之,4
懒懒,4
两手,4
热气,4
庙里,4
自去,4
乞丐,4
三角形,4
那有,4
胡涂,4
烛台,4
一字,4
表彰,4
笑声,4
正经事,4
愤愤,4
无告,4
常有,4
语出,4
新党,4
家中,4
雪白,4
明明,4
一支,4
背上,4
此刻,4
一家,4
偏要,4
特别,4
关系,4
短工,4
不觉,4
暂时,4
皱眉,4
讨厌,4
手脚,4
闲着,4
很快,4
笑影,4
掏米,4
远远地,4
一株,4
白篷,4
发昏,4
事件,4
自言自语,4
打算,4
抬起,4
房子,4
真傻,4
村里,4
圆圈,4
走开,4
两年,4
灯火,4
公益,4
公债,4
令弟,4
打电话,4
公寓,4
午后,4
找到,4
惘然,4
静寂,4
批评,4
普悌思,4
药房,4
但他却,4
命令,4
相识,4
漆黑,4
望见,4
要紧,4
酒楼,4
独有,4
油豆腐,4
惊异,4
底下,4
四顾,4
其间,4
几口,4
模模,4
胡胡,4
阿顺,4
说些,4
长庚,4
红鼻子,4
讨论,4
上海,4
假定,4
西洋,4
高尚,4
蓬蓬松松,4
回过,4
俄国,4
良人,4
两只,4
腰骨,4
好孩子,4
左边,4
舌头,4
沉闷,4
之意,4
不动,4
聘书,4
老钵,4
毛家,4
大儿子,4
玉皇,4
瑶翁,4
白开水,4
瑶圃,4
老师,4
书本,4
发亮,4
半个,4
五月,4
周刊,4
常用,4
古人,4
唐代,4
眼看,4
长明灯,4
粉嫩,4
看定,4
上城,4
秋天,4
过继,4
一出,4
原注,4
入殓,4
承重,4
两面,4
死者,4
走散,4
情景,4
生计,4
索隐,4
独头,4
做针线,4
我活,4
顾问,4
粗人,4
魏大人,4
看白,4
低头,4
屁股,4
木叔,4
庞庄,4
知书识理,4
公道话,4
魁星阁,4
屁塞,4
少爷,4
红绿,4
写下,3
时光,3
逃出,3
紫藤,3
同居,3
本书,3
文学,3
步声,3
穿着,3
小东西,3
一步,3
走过,3
并未,3
相视,3
充满,3
雪莱,3
稚气,3
壁上,3
不好意思,3
夜间,3
十几天,3
态度,3
措辞,3
电影,3
记忆,3
言语,3
不愿,3
温习,3
最为,3
忙碌,3
几回,3
公园,3
一不小心,3
镇静,3
坦然,3
小半,3
女孩子,3
胆怯,3
竟是,3
这倒,3
清静,3
灵魂,3
揭去,3
庙会,3
买来,3
动物,3
一月,3
点点头,3
安宁,3
读书,3
傍晚,3
常见,3
两家,3
独立,3
局里,3
工作,3
打击,3
料到,3
印着,3
生着,3
怯弱,3
节省,3
灰尘,3
定睛,3
凝视,3
一封,3
决不会,3
肥胖,3
日子,3
扇动,3
动手,3
碗碟,3
建立,3
寄给,3
人类,3
宇宙,3
自觉,3
食物,3
打拱,3
蒙着,3
推在,3
忍不住,3
疏远,3
想不到,3
道理,3
通俗,3
图书馆,3
道路,3
枯坐,3
大半年,3
摩托车,3
增加,3
恐怖,3
忧疑,3
麻木,3
要说,3
开辟,3
这人,3
灭亡,3
时间,3
闲谈,3
文人,3
诺拉,3
老实,3
免得,3
四处,3
这使,3
深山,3
黑暗,3
性命,3
封信,3
之交,3
昏黑,3
显得,3
一处,3
明亮,3
烈日,3
负着,3
勇敢,3
是因为,3
城中,3
门房,3
相见,3
我家,3
人间,3
苦闷,3
无名,3
闪出,3
上午,3
太阳,3
地面,3
一匹,3
地向,3
所见,3
聪明,3
真有,3
拥抱,3
默默,3
报刊,3
指定,3
六年,3
布鞋,3
大襟,3
香味,3
花纹,3
打开,3
薄纸,3
开去,3
拚命,3
洗脸,3
这一,3
油汗,3
笔挺,3
倒退,3
两步,3
底里,3
英文,3
老年人,3
街上,3
共济,3
坏话,3
脸去,3
店里,3
不依,3
十八九岁,3
檐下,3
一文,3
肆无忌惮,3
遍身,3
天色,3
庭训,3
母鸡,3
发见,3
正想,3
两颊,3
脾气,3
懂事,3
气忿,3
不见得,3
太平,3
不相干,3
支吾,3
称赞,3
不要脸,3
叫喊,3
报馆,3
哈哈哈,3
头昏,3
唏唏,3
信笺,3
进门,3
放着,3
发闪,3
阴影,3
卧室,3
月光,3
多用,3
封建,3
国粹,3
教育,3
孔丘,3
谈话,3
午饭,3
迎接,3
杀鸡,3
宰鹅,3
水里,3
福礼,3
无论如何,3
河边,3
瘦削,3
站住,3
识字,3
精采,3
发光,3
走近,3
人死,3
有没有,3
悚然,3
不及,3
踌躇,3
含有,3
豫感,3
少年,3
不佳,3
样林嫂,3
抬头,3
人为,3
不错,3
舒畅,3
母家,3
寡妇,3
每月,3
工钱,3
小叔子,3
打柴,3
勤快,3
全是,3
口角,3
对岸,3
山里人,3
能干,3
一共,3
淘米,3
先到,3
理会,3
烧火,3
特地,3
计较,3
好运,3
贺家坳,3
花轿,3
惟独,3
竟肯,3
总要,3
抬到,3
天地,3
使劲,3
摇头,3
顺下,3
铺盖,3
青青,3
野兽,3
山坳,3
食吃,3
寻到,3
紧紧,3
记性,3
死尸,3
祭祀,3
祖宗,3
酒杯,3
一向,3
没趣,3
一段,3
人来,3
老太太,3
烦厌,3
似笑非笑,3
吃素,3
不耐烦,3
过活,3
死鬼,3
土地庙,3
西头,3
嘲笑,3
请假,3
懒散,3
舒适,3
秦益堂,3
老三,3
老五,3
票上,3
躺椅,3
闪烁,3
不解,3
开导,3
汪月生,3
少有,3
大门口,3
功课,3
报上,3
时症,3
目送,3
西医,3
电话,3
跨上,3
医院,3
中医,3
舍弟,3
红斑,3
药方,3
一辆,3
汽笛,3
张开,3
闹钟,3
怨愤,3
先帝,3
前天,3
手指,3
出过,3
衣袋,3
装在,3
美亚,3
熟识,3
烟雾,3
惦记着,3
同事,3
脊鸟,3
令鸟,3
十一月,3
喝茶,3
艺术,3
语见,3
泥土,3
楼上,3
板桌,3
废园,3
北方,3
积雪,3
客人,3
器具,3
城人,3
酒客,3
听得,3
楼梯,3
害怕,3
时代,3
面貌,3
吕纬甫,3
济南,3
太原,3
教书,3
小圈子,3
喝干,3
一桌,3
小兄弟,3
可爱,3
下泪,3
被褥,3
土工,3
坟地,3
剩下,3
木片,3
正对面,3
便宜,3
老朋友,3
船户,3
好看,3
很长,3
招呼,3
动身,3
顺姑,3
荞麦,3
可口,3
放开,3
一遍,3
几句,3
发了,3
躺倒,3
伯伯,3
许钦文,3
不像,3
脑里,3
绿格纸,3
迟疑,3
浙江,3
天天,3
广东,3
绑票,3
察哈尔,3
优美,3
留学生,3
二十五斤,3
头去,3
回过头来,3
卫生,3
第一碗,3
斤半,3
用力,3
迷迷,3
一座,3
笔直,3
擎起,3
抱歉,3
想要,3
妇女杂志,3
子孙,3
罗马字母,3
华盖,3
外国人,3
颂扬,3
亲爱,3
世事,3
不平,3
父母,3
遮住,3
喝酒,3
中华,3
义务,3
贤良,3
吉旦,3
高尔基,3
犯不上,3
两点,3
上课,3
局面,3
手表,3
皮包,3
校役,3
座右铭,3
一位,3
青眼,3
威严,3
植物园,3
铃声,3
两口,3
这位,3
嘻嘻,3
深邃,3
脑壳,3
热心,3
一顶,3
忘记,3
语丝,3
姓名,3
人物,3
男女,3
公元,3
茶馆,3
熄掉,3
全屯,3
出行,3
黄历,3
不宜,3
回事,3
一骗,3
灰五婶,3
工人,3
形势,3
王灵官,3
蝗虫,3
泥鳅,3
墙上,3
蓝布,3
站定,3
顿然,3
妥当,3
异口同音,3
问道,3
红划,3
戏文,3
癞头,3
迷信,3
某日,3
皇帝,3
薪水,3
山村,3
仪式,3
草荐,3
散开,3
吸着,3
沉沦,3
天真,3
谈禅,3
寓里,3
大哭,3
死去,3
向上,3
流言,3
烧酒,3
花生米,3
冷静,3
煤油,3
衣食,3
礼节,3
得活,3
学潮,3
潮湿,3
苎麻,3
老家伙,3
低声下气,3
十三大,3
亲人,3
不通,3
习俗,3
铜盏,3
出屉,3
裤腰,3
睁起,3
弥勒佛,3
空隙,3
苏州,3
烟管,3
换帖,3
木三,3
施家,3
酒席,3
上岸,3
打官司,3
气杀,3
木棍,3
洋钱,3
出土,3
为子君,2
过得,2
空着,2
破窗,2
窗前,2
板床,2
消灭,2
这破,2
搬出,2
创立,2
焦躁,2
生动,2
苍白,2
槐树,2
一房,2
依旧,2
看不见,2
百无聊赖,2
科学,2
横竖,2
分外,2
往来,2
君鞋,2
长班,2
胞叔,2
叔子,2
泰戈尔,2
弥漫着,2
光泽,2
杂志,2
草草,2
束缚,2
淹死,2
伊孛生,2
干涉,2
权利,2
在家,2
缺点,2
几句话,2
许多天,2
发响,2
女性,2
不远,2
鲇鱼,2
鼻尖,2
挤成,2
小平面,2
明晃晃,2
记不清,2
纯真,2
热烈,2
排列,2
拒绝,2
临时,2
慌张,2
绯红,2
视线,2
飞去,2
背诵,2
叙述,2
浅薄,2
质问,2
考验,2
出神,2
这事,2
平静,2
一部分,2
同行,2
住所,2
轻蔑,2
全身,2
反抗,2
全不,2
缓缓,2
相宜,2
选择,2
安身,2
能相容,2
暂且,2
处所,2
两间,2
夫人,2
乡下,2
啼哭,2
安闲,2
幽静,2
家具,2
筹来,2
款子,2
卖掉,2
唯一,2
拦阻,2
气愤,2
忠告,2
办公,2
二人,2
活泼,2
枯死,2
官太太,2
四只,2
原有,2
爱情,2
生长,2
说起,2
领会,2
宁静,2
永久,2
冲突,2
怀旧,2
家务,2
常说,2
居住,2
公文,2
煮饭,2
日夜,2
操心,2
算作,2
两只手,2
粗糙,2
操劳,2
凄然,2
呆坐,2
开门,2
到局,2
效验,2
教读,2
现有,2
选定,2
写信,2
踌蹰,2
竟会,2
变得,2
疲劳,2
实行,2
无言,2
放出,2
开阔,2
看过,2
字典,2
证明,2
善于,2
散乱,2
做事,2
无力,2
争吵,2
轻易,2
房东,2
赫胥黎,2
肴馔,2
享用,2
留不住,2
冬季,2
逼近,2
草标,2
出卖,2
带到,2
放掉,2
土坑,2
但子,2
凄惨,2
分子,2
世交,2
识见,2
天气,2
皮肤,2
烧着,2
不死不活,2
装着,2
温暖,2
这于,2
决无,2
奋斗,2
读者,2
教授,2
运动,2
近旁,2
失掉,2
悲愤,2
烧尽,2
谈到,2
冷漠,2
反响,2
冷嘲,2
往常,2
露出,2
温和,2
温存,2
草稿,2
填满,2
难于,2
呼吸,2
怨色,2
豁达,2
求生,2
决然,2
自责,2
忏悔,2
断续,2
说出,2
临末,2
我用,2
不该,2
不爱,2
变故,2
灰黄,2
闪闪,2
慈爱,2
寒风,2
一惊,2
骨髓,2
疼痛,2
瞥见,2
毅然,2
洋场,2
细线,2
书券,2
两角,2
邮票,2
要来,2
徘徊,2
照常,2
寓所,2
意料中,2
寻觅,2
留下,2
字迹,2
铜元,2
较久,2
逗着,2
最黑,2
忍耐,2
儿女,2
说谎,2
宝贵,2
至多,2
错误,2
伯父,2
同窗,2
她家,2
辞别,2
再来,2
无爱,2
阴沉,2
灰土,2
房主,2
约略,2
依稀,2
活着,2
灰白,2
初春,2
街头,2
葬式,2
唱歌,2
毒焰,2
围绕,2
快意,2
总得,2
给子君,2
送葬,2
收入,2
前未,2
同乡,2
称呼,2
易卜生,2
译成,2
中文,2
传播,2
著名,2
设在,2
标志,2
译作,2
拔贡,2
清代,2
秀才,2
京师,2
背着,2
底声,2
愈响,2
眼去,2
袍子,2
长方,2
递给,2
闻到,2
簇簇,2
这葵,2
揭开,2
面上,2
介意,2
之下,2
发热,2
皂荚,2
葵绿纸,2
台上,2
翻身,2
拖长,2
高背椅,2
停下,2
侧耳,2
一听,2
焦急,2
短衣,2
听见,2
我刚,2
走路,2
看待,2
请教,2
鬼子,2
局促,2
白化,2
口耳并重,2
鬼话,2
这真,2
提倡,2
流弊,2
