work,character,sentiment
朝花夕拾,敬畏,negative
朝花夕拾,孙子,negative
朝花夕拾,宝石,neutral
朝花夕拾,包公,negative
朝花夕拾,阴森森,positive
朝花夕拾,那才真,positive
朝花夕拾,梁来,positive
朝花夕拾,小乘,positive
朝花夕拾,古无征,positive
朝花夕拾,范县,negative
朝花夕拾,虞仲翔,negative
朝花夕拾,妙语,negative
朝花夕拾,公正,positive
朝花夕拾,阴司里,positive
朝花夕拾,古哲墨,neutral
朝花夕拾,墨印,neutral
朝花夕拾,敬神,positive
朝花夕拾,郎中,negative
朝花夕拾,牛膝,negative
朝花夕拾,冷汗,negative
朝花夕拾,阿嫂,negative
朝花夕拾,俞仲华,positive
朝花夕拾,小丑,positive
朝花夕拾,施之,positive
朝花夕拾,卢布,positive
朝花夕拾,冷冰冰,positive
朝花夕拾,张罗,negative
朝花夕拾,霍然而愈,negative
朝花夕拾,续弦,negative
朝花夕拾,费功夫,positive
朝花夕拾,刚毅,neutral
朝花夕拾,巫医,negative
朝花夕拾,陈莲,negative
朝花夕拾,康健,negative
朝花夕拾,汤灌,positive
朝花夕拾,时髦,negative
朝花夕拾,颜厚,neutral
朝花夕拾,同仁,neutral
朝花夕拾,小聪明,neutral
朝花夕拾,和狮虎,positive
朝花夕拾,吕该尔,neutral
朝花夕拾,章士钊,negative
朝花夕拾,拜来拜去,negative
朝花夕拾,有志于,negative
朝花夕拾,桂叶,positive
朝花夕拾,轩昂,neutral
朝花夕拾,贺礼,negative
朝花夕拾,墨汁,positive
朝花夕拾,绍兴人,negative
朝花夕拾,秋瑾,negative
朝花夕拾,陈伯平,negative
朝花夕拾,马宗汉,negative
朝花夕拾,师母,positive
朝花夕拾,老迅,negative
朝花夕拾,白旗,negative
朝花夕拾,季弗,negative
朝花夕拾,傅力臣,negative
朝花夕拾,孙传芳,negative
朝花夕拾,言辞,negative
朝花夕拾,云散,negative
朝花夕拾,曾祖母,negative
朝花夕拾,栗凿,negative
朝花夕拾,觉得很有,negative
朝花夕拾,寻一寻,negative
朝花夕拾,爱抚,positive
朝花夕拾,西学堂,negative
朝花夕拾,圣贤书,positive
朝花夕拾,徐子,negative
朝花夕拾,鸠舌,negative
朝花夕拾,闻其声,negative
朝花夕拾,雅言,negative
朝花夕拾,封神榜,negative
朝花夕拾,爱其母,positive
朝花夕拾,施及庄,positive
朝花夕拾,云从龙,neutral
朝花夕拾,赖妈,negative
朝花夕拾,左传,negative
朝花夕拾,东邻,negative
朝花夕拾,支那,negative
朝花夕拾,莫愁湖,negative
朝花夕拾,关帝庙,negative
朝花夕拾,伏魔,negative
朝花夕拾,关圣,negative
朝花夕拾,普弥耶,negative
朝花夕拾,钟鼎,negative
朝花夕拾,盛顿,positive
朝花夕拾,柏拉图,negative
朝花夕拾,斯多葛,negative
朝花夕拾,张廉卿,neutral
朝花夕拾,马癸,negative
朝花夕拾,花生米,negative
朝花夕拾,太贵,negative
朝花夕拾,黄泉,positive
朝花夕拾,罗汉豆,negative
朝花夕拾,白云,negative
而已集,鲁迅,negative
而已集,曹操,positive
而已集,阮籍,neutral
而已集,嵇康,neutral
而已集,曹丕,neutral
而已集,卢梭,negative
而已集,何晏,positive
而已集,权威,neutral
而已集,司马懿,negative
而已集,明白,negative
而已集,蒋介石,positive
而已集,华盖,neutral
而已集,陈西滢,negative
而已集,章士钊,positive
而已集,晋书,neutral
而已集,魏书,neutral
而已集,罗振玉,neutral
而已集,西滢,negative
而已集,魏晋,neutral
而已集,诸君,negative
而已集,段祺瑞,positive
而已集,孤桐,neutral
而已集,袁世凯,positive
而已集,顾颉刚,negative
而已集,梁实秋,neutral
而已集,陈源,negative
而已集,华丽,negative
而已集,宝贝,negative
而已集,陶潜,negative
而已集,司马昭,neutral
而已集,孙中山,neutral
而已集,郭沫若,neutral
而已集,曹植,neutral
而已集,大将军,positive
而已集,宣言,neutral
而已集,郁达夫,neutral
而已集,陶元庆,positive
而已集,董卓,positive
而已集,周公,positive
而已集,胡涂,positive
而已集,田园诗人,negative
而已集,南菁,neutral
而已集,汪精卫,positive
而已集,云云,negative
而已集,杨荫榆,positive
而已集,徐丹甫,neutral
而已集,胡适,neutral
而已集,有恒,negative
而已集,玉堂春,positive
而已集,严可均,positive
而已集,秦汉,negative
而已集,子建,positive
而已集,陈琳,positive
而已集,司马氏,positive
而已集,王弼,neutral
而已集,夏侯玄,negative
而已集,孔子,negative
而已集,山巨源,positive
而已集,杨子,negative
而已集,汉献帝,negative
而已集,小姐,neutral
而已集,魏氏,positive
而已集,曹爽,neutral
而已集,言语,neutral
而已集,于今,neutral
而已集,柳树,neutral
而已集,司马,neutral
而已集,孟子,neutral
而已集,孙传芳,neutral
而已集,和尚,neutral
而已集,胡同,neutral
而已集,乾隆,neutral
而已集,斯文,positive
而已集,敬一亭,negative
而已集,老先生,positive
而已集,孔丘,positive
而已集,张作霖,positive
而已集,洪水,neutral
而已集,于天,positive
而已集,黄巾,negative
而已集,丁福保,negative
而已集,刘先生,negative
而已集,容纳,positive
而已集,顾忌,positive
而已集,郑康,negative
而已集,明帝,negative
而已集,刘桢,negative
而已集,杜康,negative
而已集,黄祖,positive
而已集,巢元方,negative
而已集,皇甫谧,negative
而已集,刘伶,neutral
而已集,原谅,negative
而已集,颜延之,negative
而已集,管叔,positive
而已集,蔡叔,positive
而已集,汤武,positive
而已集,孙盛,positive
而已集,大贤,positive
而已集,何曾,positive
而已集,北伐军,positive
而已集,灵帝,negative
而已集,袁绍,positive
而已集,武帝纪,neutral
而已集,后汉书,positive
而已集,齐王,positive
而已集,曹芳,positive
而已集,王猛,neutral
而已集,桓玄,negative
