work,character,position,relative_position,sentiment_score,smoothed_sentiment_score,sentiment_words_count
朝花夕拾,OVERALL,6,5.714285714285714,5.888888888888889,5.167641325536063,18
朝花夕拾,OVERALL,7,6.666666666666667,4.614035087719299,4.800974658869396,19
朝花夕拾,OVERALL,8,7.6190476190476195,3.9,4.738011695906433,30
朝花夕拾,OVERALL,9,8.571428571428571,5.7,4.86183574879227,10
朝花夕拾,OVERALL,10,9.523809523809524,4.9855072463768115,4.406280193236715,23
朝花夕拾,OVERALL,11,10.476190476190476,2.533333333333333,3.7761214630779847,10
朝花夕拾,OVERALL,12,11.428571428571429,3.8095238095238093,2.989285714285714,14
朝花夕拾,OVERALL,13,12.380952380952381,2.625,3.4448412698412696,8
朝花夕拾,OVERALL,14,13.333333333333334,3.9,3.341666666666667,10
朝花夕拾,OVERALL,15,14.285714285714285,3.5,3.4333333333333336,8
朝花夕拾,OVERALL,16,15.238095238095239,2.9,3.966666666666667,20
朝花夕拾,OVERALL,17,16.19047619047619,5.5,4.0,16
朝花夕拾,OVERALL,18,17.142857142857142,3.6,4.333333333333333,15
朝花夕拾,OVERALL,19,18.095238095238095,3.9,3.6616161616161613,10
朝花夕拾,OVERALL,20,19.047619047619047,3.4848484848484844,3.6131313131313134,11
朝花夕拾,OVERALL,21,20.0,3.4545454545454546,3.584736251402918,11
朝花夕拾,OVERALL,22,20.952380952380953,3.8148148148148144,3.25645342312009,9
朝花夕拾,OVERALL,23,21.904761904761905,2.5,3.959104938271605,12
朝花夕拾,OVERALL,24,22.857142857142858,5.5625,3.75,16
朝花夕拾,OVERALL,25,23.809523809523807,3.1875,4.546296296296297,16
朝花夕拾,OVERALL,26,24.761904761904763,4.888888888888889,4.4497053872053876,21
朝花夕拾,OVERALL,27,25.71428571428571,5.2727272727272725,5.014656367597545,11
朝花夕拾,OVERALL,28,26.666666666666668,4.882352941176471,4.479043831985009,17
朝花夕拾,OVERALL,29,27.61904761904762,3.282051282051282,4.343690296631473,13
朝花夕拾,OVERALL,30,28.57142857142857,4.866666666666666,4.331623931623931,15
朝花夕拾,OVERALL,31,29.523809523809526,4.846153846153846,4.38046398046398,13
朝花夕拾,OVERALL,32,30.476190476190478,3.4285714285714284,4.1550671550671545,14
朝花夕拾,OVERALL,33,31.428571428571427,4.190476190476191,3.7125220458553785,14
朝花夕拾,OVERALL,34,32.38095238095238,3.518518518518518,4.02336860670194,18
朝花夕拾,OVERALL,35,33.33333333333333,4.361111111111111,3.9519400352733682,12
朝花夕拾,OVERALL,36,34.285714285714285,3.976190476190476,3.7907964355332773,14
朝花夕拾,OVERALL,37,35.23809523809524,3.0350877192982457,3.6395618676320427,19
朝花夕拾,OVERALL,38,36.19047619047619,3.907407407407407,5.022498375568551,18
朝花夕拾,OVERALL,39,37.142857142857146,8.125,6.2330246913580245,8
朝花夕拾,OVERALL,40,38.095238095238095,6.666666666666666,6.877415458937198,17
朝花夕拾,OVERALL,41,39.04761904761905,5.840579710144928,5.613526570048308,23
朝花夕拾,OVERALL,42,40.0,4.333333333333333,5.224637681159421,20
朝花夕拾,OVERALL,43,40.95238095238095,5.5,4.462962962962963,10
朝花夕拾,OVERALL,44,41.904761904761905,3.5555555555555554,4.12962962962963,9
朝花夕拾,OVERALL,45,42.857142857142854,3.333333333333333,3.8810916179337234,10
朝花夕拾,OVERALL,46,43.80952380952381,4.754385964912281,3.9088693957115006,19
朝花夕拾,OVERALL,47,44.761904761904766,3.6388888888888893,4.945906432748539,12
朝花夕拾,OVERALL,48,45.714285714285715,6.4444444444444455,5.527777777777779,18
朝花夕拾,OVERALL,49,46.666666666666664,6.5,9.02910052910053,14
朝花夕拾,OVERALL,50,47.61904761904761,14.142857142857142,9.248473748473748,14
朝花夕拾,OVERALL,51,48.57142857142857,7.102564102564103,10.277885513179632,13
朝花夕拾,OVERALL,52,49.523809523809526,9.588235294117647,8.380266465560583,17
朝花夕拾,OVERALL,53,50.476190476190474,8.45,7.434967320261438,20
朝花夕拾,OVERALL,54,51.42857142857142,4.266666666666667,5.757407407407406,10
朝花夕拾,OVERALL,55,52.38095238095239,4.555555555555555,5.641595441595442,3
